Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
27-12-11,44,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
21-12-11,42,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf sous la neige
19-12-11,22,0,0h00,0,0.0,0,Performer SAKI,,vélotaf avant neige
16-12-11,44,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
09-12-11,107,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
03-12-11,87,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
27-11-11,111,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
20-11-11,156,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
06-11-11,176,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
21-10-11,116,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
15-10-11,37,0,0h00,0,0.0,0,Performer SAKI,,O'Callaghan Irénée
14-10-11,110,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
07-10-11,89,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
30-09-11,87,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
23-09-11,126,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine
16-09-11,126,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
09-09-11,109,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
31-08-11,38,0,0h00,0,0.0,0,Performer GoalX26,,velotaf O Callaghan
31-08-11,115,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de Vélotaf 
18-08-11,70,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
15-08-11,122,0,0h00,0,0.0,0,Performer GoalX26,,Vacances ile d'oleron
15-08-11,145,0,0h00,0,0.0,0,Performer SAKI,,WE Valence
21-07-11,22,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
16-07-11,119,30,3h58,0,0.0,0,Performer SAKI,,Villard-Bonnot => Annecy 
15-07-11,182,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de Vélotaf
03-07-11,85,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
25-06-11,130,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine 
19-06-11,105,28.5,3h41,400,3.8,0,Performer SAKI,,col de la placette- voiron - moirans
17-06-11,99,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
10-06-11,122,0,0h00,0,0.0,0,Performer SAKI,,Velotaf de la semaine
03-06-11,94,0,0h00,0,0.0,0,Performer SAKI,,1er semaine vélotaf en saki
27-05-11,43,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
22-05-11,355,0,0h00,0,0.0,0,Performer GoalX26,,24 heures de l'INSA
20-05-11,62,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine 
10-05-11,40,0,0h00,0,0.0,0,La Mule (Autoconstruction),,2 jours de vélotaf
10-05-11,20,0,0h00,0,0.0,0,Performer GoalX26,,1 jour de vélotaf
06-05-11,50,0,0h00,0,0.0,0,La Mule (Autoconstruction),,vélotaf de la semaine
30-04-11,40,0,0h00,0,0.0,0,La Mule (Autoconstruction),,vélotaf de la semaine
22-04-11,158,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de 2 semaines
10-04-11,132,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine + formation N3
01-04-11,128,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
25-03-11,198,0,0h00,0,0.0,0,Performer GoalX26,,2 semaines de vélotaf
11-03-11,71,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine
06-03-11,231,0,0h00,0,0.0,0,Performer GoalX26,,BRM 200 Grenoble
02-03-11,167,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de 3 semaines
11-02-11,102,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
05-02-11,82,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
31-01-11,106,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
21-01-11,124,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
15-01-11,85,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
06-01-11,84,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
