Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
21-12-12,85,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
15-12-12,101,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine + championnat automne TRA Grenoble
11-12-12,23,0,0h00,0,0.0,0,Performer GoalX26,,velotaf du jour sous la neige
10-12-12,12,0,0h00,0,0.0,0,Performer GoalX26,,"velotaf, récupération du vélo laisse au boulot cause neige."
07-12-12,122,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
30-11-12,110,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
23-11-12,131,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
18-11-12,144,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
09-11-12,64,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
02-11-12,100,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
26-10-12,117,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
19-10-12,100,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
12-10-12,114,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
06-10-12,103,0,0h00,0,0.0,0,Performer SAKI,,Ladies montain cup à voiron
05-10-12,92,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
30-09-12,133,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
21-09-12,89,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
10-09-12,135,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine + 1 js
30-08-12,145,0,0h00,0,0.0,0,Performer SAKI,,vÃ�Â©lotaf de la semaine + entrainement sassenage
26-08-12,171,0,0h00,0,0.0,0,Performer SAKI,,vÃ�Â©lotaf de la semaine + stage equipe de france Bachelard
17-08-12,110,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
12-08-12,60,0,0h00,0,0.0,0,La Mule (Autoconstruction),,vacances Arcachon
20-07-12,156,0,0h00,0,0.0,0,Performer SAKI,,vélotaf avant vacances
18-07-12,21,0,0h00,0,0.0,0,La Mule (Autoconstruction),,vélotaf
06-07-12,183,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
23-06-12,112,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine 
23-06-12,65,0,0h00,0,0.0,0,Performer SAKI,,tournoi touch a notre dame de mésage
15-06-12,91,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
10-06-12,248,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
28-05-12,182,0,0h00,0,0.0,0,Performer SAKI,,3 semaines vélotaf
04-05-12,109,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
27-04-12,134,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine (nouveau pneu arriere)
20-04-12,122,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
13-04-12,105,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
06-04-12,161,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
25-03-12,344,0,0h00,2800,8.1,0,Performer SAKI,,BRM 300 - col de la croix Haute - col de Cabre - Crest - Saint Nazaire en Royans
23-03-12,99,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
16-03-12,112,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
11-03-12,250,0,0h00,1800,7.2,0,Performer SAKI,,BRM 200 - comprend le BRM 210 + le trajet pour y aller 
09-03-12,88,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
03-03-12,165,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine + notaire lyon + championnat de France des clubs
24-02-12,114,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
17-02-12,152,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
03-02-12,42,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf sous la neige
03-02-12,66,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
29-01-12,111,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine + winter touch
20-01-12,90,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
13-01-12,189,0,0h00,0,0.0,0,Performer SAKI,,15 js vélotaf
