Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
31-12-16,301,0,0h00,0,0.0,0,Taftaf,,velotaf
30-11-16,217,0,0h00,0,0.0,0,Taftaf,,vélotaf
18-11-16,220,0,0h00,0,0.0,0,Taftaf,,velotaf
31-10-16,110,0,0h00,0,0.0,0,Taftaf,,vélotaf
24-10-16,227,0,0h00,0,0.0,0,Taftaf,,velotaf
07-10-16,120,0,0h00,0,0.0,0,Taftaf,,vélotaf
29-09-16,188,0,0h00,0,0.0,0,Taftaf,,vélotaf
16-09-16,66,0,0h00,0,0.0,0,Taftaf,,vélotaf
10-09-16,115,0,0h00,0,0.0,0,Taftaf,,vélotaf
05-09-16,42,0,0h00,0,0.0,0,Taftaf,,vélotaf
30-08-16,62,0,0h00,0,0.0,0,Vendetta,,velotaf
28-08-16,55,0,0h00,0,0.0,0,Vendetta,,velotaf
28-08-16,109,0,0h00,0,0.0,0,Taftaf,,velotaf
16-08-16,59,0,0h00,0,0.0,0,Vendetta,,velotaf par les balcons
12-08-16,124,0,0h00,0,0.0,0,Taftaf,,vélotaf
05-08-16,142,0,0h00,0,0.0,0,Taftaf,,vélotaf
07-07-16,76,0,0h00,0,0.0,0,Taftaf,,vélotaf
01-07-16,117,0,0h00,0,0.0,0,Taftaf,,vélotaf
25-06-16,137,0,0h00,0,0.0,0,Taftaf,,vélotaf
17-06-16,132,0,0h00,0,0.0,0,Taftaf,,velotaf
12-06-16,30,0,0h00,0,0.0,0,Vendetta,,match SMU mais pédale casse retour à partie de SMH :(
08-06-16,71,0,0h00,0,0.0,0,Taftaf,,vélotaf
27-05-16,156,0,0h00,0,0.0,0,Taftaf,,velotaf
25-05-16,50,0,0h00,0,0.0,0,Vendetta,,velotaf + arbitrage SMU
15-05-16,558,23.3,23h57,0,0.0,0,Vendetta,,24 heures de l'INSA + retour par train
14-05-16,28,0,0h00,0,0.0,0,Vendetta,,direction 24 heures de l'insa :)
13-05-16,66,0,0h00,0,0.0,0,Taftaf,,velotaf de la semaine
07-05-16,69,0,0h00,0,0.0,0,Taftaf,,velotaf
07-05-16,89,0,0h00,0,0.0,0,Vendetta,,les balcons de belledonne avec Marcel
29-04-16,89,0,0h00,0,0.0,0,Taftaf,,vélotaf
27-04-16,51,0,0h00,0,0.0,0,Vendetta,,velotaf + arbitrage SMU
22-04-16,89,0,0h00,0,0.0,0,Taftaf,,velotaf
15-04-16,45,0,0h00,0,0.0,0,Taftaf,,velotaf
08-04-16,139,0,0h00,0,0.0,0,Taftaf,,Velotaf 
01-04-16,68,0,0h00,0,0.0,0,Taftaf,,velotaf
26-03-16,111,0,0h00,0,0.0,0,Vendetta,,tournoi voglans
25-03-16,87,0,0h00,0,0.0,0,Taftaf,,vélotaf
18-03-16,116,0,0h00,0,0.0,0,Taftaf,,velotaf
13-03-16,117,0,0h00,0,0.0,0,Taftaf,,velotaf
06-03-16,145,0,0h00,0,0.0,0,Taftaf,,vélotaf + sortie enfant
26-02-16,109,0,0h00,0,0.0,0,Taftaf,,vélotaf
12-02-16,96,0,0h00,0,0.0,0,Taftaf,,vélotaf
07-02-16,116,0,0h00,0,0.0,0,Taftaf,,velotaf
31-01-16,111,0,0h00,0,0.0,0,Taftaf,,velotaf
23-01-16,44,0,0h00,0,0.0,0,Taftaf,,Winter touch
18-01-16,225,0,0h00,0,0.0,0,Taftaf,,vélotaf
