Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
24-12-09,21,0,0h00,0,0.0,0,Performer GoalX26,,dernier vélotaf Corys ( en face CEA)
17-12-09,42,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine 
13-12-09,25,0,0h00,0,0.0,0,Performer GoalX26,,retour grenoble(train de lyon)
10-12-09,103,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine 
05-12-09,126,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine 
27-11-09,168,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine 
20-11-09,84.42,23.8,3h33,0,0.0,0,Performer GoalX26,,vélotaf de la semaine (2 js)
15-11-09,133,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
06-11-09,140,21.5,6h31,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
28-10-09,132,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine (3 js)
21-10-09,24.5,0,0h00,0,0.0,0,Performer GoalX26,,1er vélotaf Corys (train matin vélo le soir)
09-10-09,34,0,0h00,0,0.0,0,Performer GoalX26,,intercontrat
01-10-09,60,0,0h00,0,0.0,0,Performer GoalX26,,dernier vélotaf Fermat
25-09-09,80,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
20-09-09,134,22.7,5h54,500,3.7,0,Performer GoalX26,,lac de paladru par la placette (pointe à 55)
18-09-09,100,0,0h00,0,0.0,0,Performer GoalX26,,Vélotaf de la semaine
11-09-09,80,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
05-09-09,95,0,0h00,0,0.0,0,Performer GoalX26,,panne voiture
14-08-09,60,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
07-08-09,80,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
02-08-09,110,14.7,7h29,1400,12.7,0,Performer GoalX26,,lac d'aiguebelette
31-07-09,70,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
24-07-09,93,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
17-07-09,60,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
15-07-09,76,24.5,3h06,0,0.0,0,Performer GoalX26,,pique nique étang moirans
10-07-09,90,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
03-07-09,84,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
29-06-09,10,0,0h00,0,0.0,0,Performer GoalX26,,"convention de jonglage turlututu ""chambery"""
26-06-09,80,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
19-06-09,103,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
12-06-09,86,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
06-06-09,87,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
01-06-09,9,12,0h45,350,38.9,0,Performer GoalX26,,Le Mas ccommune Ste Agnes
28-05-09,90,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
22-05-09,20,0,0h00,0,0.0,0,Performer GoalX26,,velotaf de la semaine
17-05-09,400,16.7,23h57,0,0.0,0,Performer GoalX26,,24 heures de l'INSA
15-05-09,80,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf de la semaine
10-05-09,105,24.2,4h20,0,0.0,0,Performer GoalX26,,
08-05-09,60,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
02-05-09,105,26.8,3h55,0,0.0,0,Performer GoalX26,,
01-05-09,80,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
28-04-09,35,23.3,1h30,0,0.0,0,Performer GoalX26,,
27-04-09,110,20,5h30,650,5.9,0,Performer GoalX26,,Voiron par le col de la placette
20-04-09,100,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
10-04-09,100,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
01-04-09,100,0,0h00,0,0.0,0,Performer GoalX26,,
17-03-09,80,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
10-03-09,100,0,0h00,0,0.0,0,Performer GoalX26,,Velotaf de la semaine
10-03-09,45,0,0h00,0,0.0,0,Performer GoalX26,,1 er jour de vélotaf
