Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
11/10/17,202,,,,,,FlevoRacer,,velotaf
29-10-17,109,0,0h00,0,0.0,0,FlevoRacer,,velotaf
29-10-17,29,0,0h00,0,0.0,0,Vendetta,,velotaf
20-10-17,26,0,0h00,0,0.0,0,Vendetta,,vélotaf
19-10-17,245,0,0h00,0,0.0,0,FlevoRacer,,velotaf
29-09-17,53,0,0h00,0,0.0,0,Vendetta,,vélotaf balcon
24-09-17,59,0,0h00,0,0.0,0,Vendetta,,2- vélotaf du vendredi
24-09-17,110,0,0h00,0,0.0,0,FlevoRacer,,vélotaf
19-09-17,104,0,0h00,0,0.0,0,FlevoRacer,,velotaf
19-09-17,90,0,0h00,0,0.0,0,FlevoRacer,,vélotaf
10-09-17,105,0,0h00,0,0.0,0,Vendetta,,velotaf
10-09-17,51,0,0h00,0,0.0,0,Vendetta,,vélotaf par les balcons
10-09-17,76,0,0h00,0,0.0,0,FlevoRacer,,velotaf
05-09-17,30,0,0h00,0,0.0,0,FlevoRacer,,velotaf
31-08-17,200,0,0h00,0,0.0,0,FlevoRacer,,vélotaf
23-08-17,191,0,0h00,0,0.0,0,FlevoRacer,,vélotaf
09-08-17,61,0,0h00,0,0.0,0,FlevoRacer,,vacances
14-07-17,251,0,0h00,0,0.0,0,FlevoRacer,,vélotaf
25-06-17,189,0,0h00,0,0.0,0,FlevoRacer,,velotaf
05-06-17,276,0,0h00,0,0.0,0,FlevoRacer,,premier vélotaf en flevo
23-04-17,91,0,0h00,0,0.0,0,Performer GoalX26,,velotaf
20-04-17,50,0,0h00,0,0.0,0,Taftaf,,dernier velotaf avec taftaf 
15-04-17,73,0,0h00,0,0.0,0,Performer GoalX26,,velotaf
15-04-17,22,0,0h00,0,0.0,0,Vendetta,,vélotaf
31-03-17,230,0,0h00,0,0.0,0,Taftaf,,velotaf
26-03-17,349,0,0h00,0,0.0,0,Vendetta,,BRM300 Tour du vercors
23-03-17,25,0,0h00,0,0.0,0,Vendetta,,velotaf
18-03-17,244,0,0h00,0,0.0,0,Taftaf,,vélotaf
05-03-17,223,0,0h00,0,0.0,0,Vendetta,,BRM200 Grenoble
22-02-17,29,0,0h00,0,0.0,0,Vendetta,,vélotaf
16-02-17,97,0,0h00,0,0.0,0,Taftaf,,vélotaf
10-02-17,140,0,0h00,0,0.0,0,Taftaf,,velotaf
01-02-17,24,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf
31-01-17,68,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf
25-01-17,198,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf
19-01-17,163,0,0h00,0,0.0,0,Taftaf,,vélotaf
15-01-17,24,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf sous la neige
30-11-17,323,,,,,,FlevoRacer,,vélotaf
