Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
24-12-15,81,0,0h00,0,0.0,0,Vendetta,,vélotaf
18-12-15,179,0,0h00,0,0.0,0,Taftaf,,vélotaf
05-12-15,113,0,0h00,0,0.0,0,Taftaf,,vélotaf
27-11-15,180,0,0h00,0,0.0,0,Taftaf,,vélotaf
15-11-15,48,0,0h00,0,0.0,0,Taftaf,,vélotaf
15-11-15,68,0,0h00,0,0.0,0,Vendetta,,tournoi SMU + velotaf
11-11-15,64,0,0h00,0,0.0,0,Taftaf,,vélotaf
04-11-15,50,0,0h00,0,0.0,0,Taftaf,,premier vélotaf
23-10-15,80,0,0h00,0,0.0,0,Proto2,,dernier vélotaf avec le Proto2
18-10-15,88,0,0h00,0,0.0,0,Proto2,,velotaf 
09-10-15,93,0,0h00,0,0.0,0,Proto2,,velotaf
02-10-15,231,0,0h00,0,0.0,0,Proto2,,vélotaf
20-09-15,199,0,0h00,0,0.0,0,Proto2,,vélotaf
05-09-15,64,0,0h00,0,0.0,0,Proto2,,velotaf
05-09-15,42,0,0h00,0,0.0,0,LaGuimauve,,vélotaf
28-08-15,85,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
20-08-15,1230,14.05,87h32,9000,7.3,0,Vendetta,,PBP2015 
09-08-15,147,0,0h00,0,0.0,0,Proto2,,vacances Erdeven
09-08-15,107,0,0h00,0,0.0,0,Vendetta,,vélotaf avant PBP2015
26-07-15,230,0,0h00,0,0.0,0,Proto2,,chateau de la loire Orléans tour
16-07-15,247,0,0h00,0,0.0,0,Proto2,,vélotaf du mois avant vacances
14-07-15,236,0,0h00,0,0.0,0,Vendetta,,"villard-bonnot col du frene, col de leschaux, semnoz, annecy, albertville, la rochette maison:)"
09-07-15,148,0,0h00,0,0.0,0,Vendetta,,2 velotaf + balcon + soirée voiron
27-06-15,100,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
25-06-15,49,0,0h00,0,0.0,0,Vendetta,,vélotaf + match SMU
19-06-15,104,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
13-06-15,99,0,0h00,0,0.0,0,Vendetta,,chamrousse par les balcons
12-06-15,84,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
05-06-15,86,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
03-06-15,52,0,0h00,0,0.0,0,Vendetta,,velotaf par les balcons
29-05-15,81,0,0h00,0,0.0,0,Proto2,,vélotaf
27-05-15,55,0,0h00,0,0.0,0,Vendetta,,vélotaf + match a SMU
24-05-15,22,0,0h00,0,0.0,0,Vendetta,,col du coq retour voiture
23-05-15,82,0,0h00,0,0.0,0,Proto2,,Vélotaf
17-05-15,607,20.4,29h45,0,0.0,0,Vendetta,,BRM600 c'est la moyenne roule temps 38.2
13-05-15,63,0,0h00,0,0.0,0,Proto2,,vélotaf
10-05-15,35,0,0h00,0,0.0,0,Vendetta,,fractionné sur l'isere
30-04-15,42,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
27-04-15,430,20.9,20h34,0,0.0,0,Vendetta,,"BRM 400 20,9 km/h de moyenne roule"
23-04-15,64,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
17-04-15,99,0,0h00,0,0.0,0,Proto2,,vélotaf
11-04-15,110,0,0h00,0,0.0,0,Vendetta,,Grenoble - Annecy par le col du frene et le col de leschaux
10-04-15,83,0,0h00,0,0.0,0,Proto2,,vélotaf
08-04-15,28,0,0h00,0,0.0,0,Vendetta,,vélotaf
03-04-15,41,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
31-03-15,43,0,0h00,0,0.0,0,LaGuimauve,,vélotaf 
28-03-15,341,0,0h00,0,0.0,0,Vendetta,,BRM 300 BCBG
27-03-15,84,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
22-03-15,21,0,0h00,0,0.0,0,LaGuimauve,,velotaf
22-03-15,51,0,0h00,0,0.0,0,Proto2,,vélotaf
20-03-15,28,0,0h00,0,0.0,0,Vendetta,,fractionné boulot
07-03-15,95,0,0h00,0,0.0,0,Vendetta,,Anbondon BRM 200 :(
06-03-15,86,0,0h00,0,0.0,0,Proto2,,vélotaf de la semaine
01-03-15,249,0,0h00,0,0.0,0,Vendetta,,BRM 200 Grenoble
27-02-15,105,0,0h00,0,0.0,0,Proto2,,vélotaf
25-02-15,28,0,0h00,0,0.0,0,Vendetta,,vélotaf
22-02-15,83,0,0h00,0,0.0,0,Proto2,,velotaf
06-02-15,150,0,0h00,0,0.0,0,Proto2,,vélotaf
25-01-15,48,0,0h00,0,0.0,0,Proto2,,winter touch
25-01-15,21,0,0h00,0,0.0,0,LaGuimauve,,vélotaf
23-01-15,62,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf
16-01-15,42,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine 
15-01-15,108,0,0h00,0,0.0,0,Vendetta,,vélotaf + sortie un midi
10-01-15,29,0,0h00,0,0.0,0,Vendetta,,vélotaf jour
10-01-15,42,0,0h00,0,0.0,0,Proto2,,aller retour Gre chez Carole et Matthieu
09-01-15,108,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
