Date,Distance,Vit. moy.,Temps parcours,Denivele +,m/km,Fréq. card.,Vélo,Meteo,Commentaires
31-12-13,15,0,0h00,0,0.0,0,LaGuimauve,,sortie avec valentin
23-12-13,83,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
13-12-13,105,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
05-12-13,86,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
29-11-13,82,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
23-11-13,46,0,0h00,0,0.0,0,Performer SAKI,,championnat TRA
22-11-13,107,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
16-11-13,8,0,0h00,0,0.0,0,Proto2,,course villard
16-11-13,20,0,0h00,0,0.0,0,LaGuimauve,,entrainement montbonnot
15-11-13,172,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
31-10-13,102,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine 
25-10-13,42,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
11-10-13,85,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
04-10-13,82,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
27-09-13,132,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine + sortie Revel
21-09-13,228,0,0h00,0,0.0,0,LaGuimauve,,BRM200 Grenoble
20-09-13,108,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
13-09-13,84,0,0h00,0,0.0,0,LaGuimauve,,vélotaf de la semaine
13-09-13,41,0,0h00,0,0.0,0,Performer SAKI,,"1 jour de vélotaf avec reu grenoble, car pas de lumière sur la guimauve"
06-09-13,210,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
25-08-13,19,0,0h00,0,0.0,0,Proto2,,sortie avec Titi
24-08-13,121,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
18-08-13,212,0,0h00,0,0.0,0,Performer SAKI,,"2 js de vélotaf + sortie fleurieux col de la croix du ban, col de la luere "
11-08-13,334,0,0h00,0,0.0,0,Proto2,,Vacances avec sortie VTT 
19-07-13,63,0,0h00,0,0.0,0,Proto2,,velotaf de la semaine
12-07-13,62,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine
07-07-13,259,0,0h00,2843,11.0,0,Performer SAKI,,"petit tour avec Nabla dans le vercor Alixan, col de bataille, villard de lans "
05-07-13,228,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf + tournoi a SMU
21-06-13,86,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
14-06-13,104,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
08-06-13,192,0,0h00,0,0.0,0,Performer SAKI,,2 semaines de vélotaf
24-05-13,146,0,0h00,0,0.0,0,Performer SAKI,,1.5 semaines de velotaf
16-05-13,63,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf parceque saki HS sans roulette
05-05-13,450,0,0h00,3869,8.6,0,Performer SAKI,,BRM 400 Mijoux Saint claude
03-05-13,41,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
26-04-13,180,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine + saint hilaire + saint agnes
19-04-13,172,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine + entrainement Equipe de france a Jarrie
13-04-13,106,0,0h00,0,0.0,0,Performer SAKI,,ballade piste cyclable
12-04-13,146,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
05-04-13,81,0,0h00,0,0.0,0,Performer SAKI,,velotaf de la semaine
29-03-13,83,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
22-03-13,84,0,0h00,0,0.0,0,Performer SAKI,,Vélotaf de la semaine
17-03-13,18,15.4,1h10,570,31.7,0,Performer SAKI,,saint agnes
15-03-13,86,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
09-03-13,41,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
03-03-13,247,0,0h00,0,0.0,0,Performer SAKI,,BRM 2OOkm
22-02-13,85,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
19-02-13,21,0,0h00,0,0.0,0,Performer GoalX26,,velotaf journée avant le degel
15-02-13,84,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf sous la neige
09-02-13,146,0,0h00,0,0.0,0,Performer SAKI,,velotaf entre épisode de neige (~2 semaines) + winter touch
07-02-13,21,0,0h00,0,0.0,0,Performer GoalX26,,velotaf sous la neige décidement cette année !!!
31-01-13,21,0,0h00,0,0.0,0,Performer GoalX26,,velotaf perdu roulette sur le saki
25-01-13,45,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
22-01-13,21,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf du jour neige
18-01-13,63,0,0h00,0,0.0,0,Performer GoalX26,,vélotaf sur la neige
15-01-13,42,0,0h00,0,0.0,0,Performer SAKI,,vélotaf 2 jour avant neige
11-01-13,106,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
04-01-13,62,0,0h00,0,0.0,0,Performer SAKI,,vélotaf de la semaine
